patience_days,patience_return,Total_Return,Max_Drawdown,Sharpe_Ratio
2,0.0,0.2612486289620286,-0.1751788154044812,0.2905917277352205
2,0.002,0.25110385410681646,-0.1808027216803043,0.2691440398778491
2,0.005,0.3585203741920895,-0.15758946439267452,0.4669966984550562
2,0.01,0.25232921263761576,-0.20730727229493828,0.3017108438354794
2,0.015,0.3070705522364219,-0.17336665362632347,0.3799370191152483
3,0.0,0.09748035480590134,-0.18762761381081444,-0.004623090208364139
3,0.002,0.26673000133353897,-0.17880296291985834,0.2714498003190173
3,0.005,0.3239155733165182,-0.1547304979241375,0.38719741911945543
3,0.01,0.2534060907020077,-0.1749815566730559,0.26194648539746923
3,0.015,0.5296197512964473,-0.18091104877096864,0.5858467294689936
5,0.0,-0.007867683196469022,-0.23853435130693038,-0.20352862531649213
5,0.002,0.1049338584648738,-0.24738747372145342,0.008937677457546723
5,0.005,0.36734761420116424,-0.21069877530124392,0.40142350544224004
5,0.01,0.3860529724447792,-0.196647781616765,0.4330568813660717
5,0.015,0.31009652550512556,-0.22437655170623064,0.3389109295708725
7,0.0,0.14221807843471623,-0.2512730685667069,0.07563732755968629
7,0.002,0.1316795488853184,-0.25555213549785516,0.054371830671760546
7,0.005,0.08735563985612105,-0.24804456660659788,-0.02185031858604626
7,0.01,0.16546150269642768,-0.2564437138011427,0.10377851569671363
7,0.015,0.12771240595804834,-0.2981275601411735,0.04557858019850429
10,0.0,0.07598826832177075,-0.3165278759233175,-0.04317343761991403
10,0.002,0.04913549341446277,-0.28914581878435625,-0.0970160576630568
10,0.005,-0.09178277338555996,-0.29004917742818276,-0.38591586967399333
10,0.01,-0.03725319746964084,-0.2978889571137221,-0.2479453685355255
10,0.015,0.14157177594488268,-0.30379698936587185,0.0712323744438389
15,0.0,0.09949674564294031,-0.2865925006059981,-0.000758580810942166
15,0.002,0.10524440988595551,-0.28706694920394205,0.009426446350835286
15,0.005,0.07956523770874058,-0.28670290307914803,-0.03623740811834692
15,0.01,0.11769987405986604,-0.24451912096844666,0.031424358635331794
15,0.015,0.2591024688551622,-0.30021240771433244,0.2517407842358787
